"","Sex","W","H","Eyes","Hair","Sh","hM","hF"
"1","M",86,1.9,"castani","neri",48,1.58,1.82
"2","M",53,1.76,"azzurri","castani",42,1.7,1.6
"3","M",64,1.74,"verdi","castani",41,1.63,1.8
"4","F",61,1.64,"castani","castani",39,1.65,1.78
"5","M",64,1.8,"verdi","castani",42,1.56,1.75
"6","F",51,1.68,"castani","castani",38,1.6,1.75
"7","M",78,1.78,"castani","castani",42,1.65,1.75
"8","M",55,1.68,"castani","neri",40,1.56,1.7
"9","F",59,1.68,"castani","castani",38,1.58,1.83
"10","F",52,1.67,"castani","castani",39,1.65,1.7
"11","F",55,1.74,"azzurri","castani",40,1.68,1.82
"12","F",65,1.82,"azzurri","castani",41,1.73,1.83
"13","M",78,1.75,"castani","castani",43,1.7,1.75
"14","M",83,1.93,"castani","biondi",47,1.7,1.85
"15","M",65,1.73,"castani","neri",43,1.65,1.68
"16","F",55,1.66,"castani","castani",38,1.6,1.8
"17","F",55,1.67,"verdi","castani",40,1.6,1.8
"18","M",73,1.8,"castani","castani",43,1.63,1.77
"19","M",72.5,1.83,"azzurri","castani",43,1.64,1.8
"20","F",60,1.55,"castani","castani",36,1.6,1.8
"21","M",85,1.84,"verdi","castani",43,1.69,1.69
"22","F",60,1.67,"verdi","castani",38,1.64,1.7
"23","F",55,1.68,"azzurri","biondi",37,1.7,1.7
"24","F",60,1.7,"castani","biondi",39,1.65,1.9
"25","F",51,1.65,"castani","castani",37,1.6,1.75
"26","F",62,1.61,"verdi","castani",39,1.6,1.66
"27","F",53,1.67,"azzurri","castani",39,1.65,1.65
"28","F",60,1.77,"castani","castani",40,1.75,1.75
"29","F",48,1.65,"castani","castani",37,1.6,1.75
"30","M",80,1.78,"castani","biondi",43,1.6,1.75
"31","M",80,1.85,"azzurri","neri",46,1.65,1.78
"32","M",65,1.74,"castani","castani",41,1.65,1.85
"33","M",64,1.72,"castani","neri",42,1.66,1.7
"34","F",50,1.57,"azzurri","biondi",37,1.58,1.74
"35","F",49,1.6,"verdi","castani",40,1.58,1.75
"36","F",62,1.76,"verdi","biondi",40,1.7,1.73
"37","M",81,1.75,"azzurri","castani",47,1.6,1.75
"38","F",53,1.65,"verdi","castani",38,1.55,1.85
"39","F",47,1.53,"azzurri","castani",37,1.5,1.7
"40","M",80,1.8,"verdi","castani",44,1.68,1.7
"41","F",55,1.64,"castani","castani",38,1.65,1.75
"42","F",62,1.75,"castani","castani",40,1.77,1.78
"43","M",64,1.84,"castani","castani",43,1.72,1.8
"44","M",80,1.7,"castani","castani",44,1.65,1.73
"45","M",80,1.75,"castani","neri",44,1.66,1.78
"46","F",50,1.7,"castani","neri",38,1.65,1.79
"47","M",63,1.88,"castani","biondi",44,1.58,1.75
"48","F",63,1.7,"verdi","castani",38,1.72,1.82
"49","F",65,1.65,"castani","castani",38,1.68,1.8
"50","M",90,1.75,"castani","castani",44,1.7,1.72
"51","F",62,1.65,"castani","castani",39,1.55,1.72
"52","F",52,1.6,"castani","castani",38,1.55,1.75
"53","F",59,1.6,"castani","castani",39,1.43,1.7
"54","F",70,1.63,"castani","castani",41,1.6,1.7
"55","F",70,1.72,"castani","biondi",40,1.7,1.78
"56","M",63,1.72,"azzurri","castani",41,1.65,1.72
"57","F",48,1.63,"castani","castani",38,1.69,1.75
"58","F",51,1.55,"verdi","castani",37,1.6,1.7
"59","F",55,1.68,"castani","castani",38,1.73,1.85
"60","M",62,1.76,"castani","castani",46,1.6,1.87
"61","M",69,1.7,"castani","neri",41,1.55,1.75
"62","M",75,1.75,"castani","neri",43,1.6,1.74
"63","F",82,1.85,"castani","castani",44,1.75,1.8
"64","F",90,1.81,"castani","neri",45,1.75,1.8
"65","F",82,1.8,"azzurri","biondi",45,1.73,1.8
"66","F",91,1.81,"verdi","biondi",42,1.6,1.87
"67","F",57,1.71,"azzurri","biondi",40,1.68,1.82
"68","M",58,1.6,"azzurri","castani",37,1.6,1.75
"69","F",43,1.62,"castani","castani",37,1.6,1.74
"70","M",57,1.65,"azzurri","castani",38,1.6,1.72
"71","M",53,1.64,"castani","castani",36,1.62,1.72
"72","F",56,1.63,"castani","biondi",40,1.67,1.8
"73","F",54,1.65,"castani","biondi",39,1.66,1.78
"74","M",75,1.82,"verdi","castani",43,1.6,1.75
"75","M",67,1.81,"castani","castani",43,1.63,1.76
"76","F",46,1.64,"verdi","castani",37,1.56,1.89
"77","F",54,1.67,"castani","castani",38,1.6,1.7
"78","F",56,1.7,"verdi","castani",39,1.68,1.9
"79","F",55,1.65,"verdi","castani",38,1.68,1.7
"80","M",44,1.6,"castani","castani",37,1.64,1.75
"81","F",65,1.83,"castani","castani",43,1.6,1.9
"82","M",56,1.7,"verdi","castani",39,1.65,1.8
"83","M",67,1.73,"verdi","castani",42,1.55,1.85
"84","F",74,1.86,"azzurri","castani",44,1.75,1.85
"85","F",56,1.62,"azzurri","biondi",38,1.6,1.75
"86","F",55,1.69,"azzurri","neri",39,1.65,1.73
"87","F",50,1.73,"castani","castani",39,1.69,1.85
"88","F",52,1.75,"verdi","biondi",38,1.62,1.8
"89","F",50,1.72,"castani","castani",37,1.63,1.85
"90","F",55,1.63,"castani","castani",37,1.62,1.75
"91","M",65,1.8,"castani","castani",42,1.71,1.74
"92","M",75,1.76,"verdi","castani",42,1.6,1.68
"93","M",70,1.76,"castani","castani",42,1.65,1.77
"94","F",49,1.54,"azzurri","castani",36,1.65,1.72
"95","F",60,1.77,"castani","castani",40,1.76,1.82
"96","M",65,1.8,"castani","castani",42,1.65,1.8
